Insertion Index,List,Array
747,0.000231,0.000051
748,0.000310,0.000052
749,0.000252,0.000052
750,0.000231,0.000066
751,0.000252,0.000050
752,0.000231,0.000049
753,0.000333,0.000052
754,0.000243,0.000050
755,0.000237,0.000049
756,0.000486,0.000058
757,0.000261,0.000049
758,0.000241,0.000067
759,0.000243,0.000049
760,0.000257,0.000060
761,0.000295,0.000049
762,0.000249,0.000048
763,0.000235,0.000048
764,0.000299,0.000047
765,0.000241,0.000058
766,0.000332,0.000061
767,0.000246,0.000047
768,0.000234,0.000046
769,0.000376,0.000054
770,0.000243,0.000046
771,0.000232,0.000046
772,0.000264,0.000045
773,0.000245,0.000045
774,0.000310,0.000074
775,0.000252,0.000046
776,0.000241,0.000045
777,0.000298,0.000044
778,0.000244,0.000060
779,0.000237,0.000045
780,0.000283,0.000046
781,0.000285,0.000044
782,0.000299,0.000045
783,0.000268,0.000044
784,0.000244,0.000071
785,0.000307,0.000053
786,0.000249,0.000043
787,0.000336,0.000044
788,0.000249,0.000049
789,0.000263,0.000043
790,0.000289,0.000044
791,0.000258,0.000044
792,0.000315,0.000043
793,0.000253,0.000044
794,0.000254,0.000063
795,0.000298,0.000041
796,0.000231,0.000050
797,0.000302,0.000042
798,0.000251,0.000040
799,0.000278,0.000040
800,0.000311,0.000042
801,0.000252,0.000040
802,0.000236,0.000041
803,0.000277,0.000040
804,0.000253,0.000039
805,0.000303,0.000039
806,0.000262,0.000039
807,0.000261,0.000039
808,0.000313,0.000039
809,0.000256,0.000045
810,0.000246,0.000039
811,0.000277,0.000038
812,0.000252,0.000038
813,0.000329,0.000038
814,0.000253,0.000038
815,0.000256,0.000043
816,0.000303,0.000038
817,0.000258,0.000037
818,0.000316,0.000050
819,0.000266,0.000037
820,0.000252,0.000083
821,0.000282,0.000037
822,0.000281,0.000036
823,0.000312,0.000036
824,0.000264,0.000036
825,0.000247,0.000035
826,0.000272,0.000035
827,0.000270,0.000035
828,0.000310,0.000036
829,0.000262,0.000035
830,0.000259,0.000053
831,0.000314,0.000035
832,0.000262,0.000034
833,0.000261,0.000043
834,0.000287,0.000034
835,0.000280,0.000034
836,0.000308,0.000034
837,0.000261,0.000033
838,0.000359,0.000042
839,0.000294,0.000033
840,0.000260,0.000043
841,0.000284,0.000033
842,0.000284,0.000032
843,0.000310,0.000032
844,0.000268,0.000032
845,0.000249,0.000032
846,0.000278,0.000032
847,0.000264,0.000031
848,0.000371,0.000032
849,0.000264,0.000031
850,0.000261,0.000031
851,0.000306,0.000030
852,0.000261,0.000030
853,0.000260,0.000030
854,0.000292,0.000030
855,0.000277,0.000030
856,0.000402,0.000030
857,0.000278,0.000029
858,0.000265,0.000029
859,0.000321,0.000034
860,0.000266,0.000029
861,0.000259,0.000029
862,0.000448,0.000036
863,0.000374,0.000042
864,0.000435,0.000042
865,0.000397,0.000039
866,0.000364,0.000032
867,0.000502,0.000042
868,0.000443,0.000031
869,0.000346,0.000031
870,0.000298,0.000030
871,0.000322,0.000030
872,0.000298,0.000029
873,0.000358,0.000029
874,0.000320,0.000029
